,frame,x,y
17,14,735,295
18,14,743,280
19,14,759,271
20,14,776,271
21,14,791,277
22,14,817,278
23,14,831,272
24,14,846,273
25,14,858,280
26,14,863,295
27,14,807,304
28,14,809,317
29,14,811,331
30,14,813,345
31,14,790,360
32,14,800,361
33,14,811,363
34,14,820,360
35,14,828,358
36,14,753,310
37,14,762,307
38,14,771,307
39,14,780,311
40,14,771,311
41,14,762,312
42,14,826,310
43,14,836,306
44,14,845,306
45,14,851,310
46,14,844,311
47,14,836,311
48,14,775,393
49,14,791,386
50,14,804,381
51,14,812,382
52,14,819,380
53,14,829,383
54,14,839,388
55,14,830,397
56,14,821,402
57,14,812,403
58,14,804,403
59,14,791,401
60,14,781,392
61,14,804,388
62,14,812,388
63,14,820,387
64,14,833,388
65,14,820,392
66,14,812,394
67,14,804,393
0,15,709,329
1,15,710,352
2,15,712,375
3,15,716,398
4,15,727,418
5,15,744,434
6,15,763,448
7,15,785,457
8,15,809,459
9,15,830,453
10,15,847,439
11,15,859,422
12,15,869,404
13,15,875,383
14,15,877,362
15,15,878,342
16,15,875,322
17,15,734,297
18,15,743,282
19,15,759,273
20,15,776,273
21,15,792,278
22,15,818,278
23,15,832,274
24,15,846,275
25,15,858,281
26,15,864,294
27,15,807,305
28,15,809,319
29,15,810,333
30,15,812,347
31,15,789,362
32,15,800,364
33,15,810,366
34,15,820,363
35,15,828,361
36,15,752,313
37,15,762,309
38,15,771,309
39,15,781,313
40,15,772,314
41,15,762,314
42,15,826,312
43,15,836,308
44,15,845,308
45,15,852,312
46,15,845,313
47,15,836,313
48,15,774,396
49,15,790,388
50,15,802,383
51,15,811,384
52,15,819,382
53,15,830,385
54,15,840,390
55,15,831,399
56,15,822,405
57,15,812,406
58,15,803,406
59,15,790,403
60,15,779,395
61,15,802,391
62,15,811,391
63,15,820,389
64,15,835,390
65,15,821,394
66,15,811,396
67,15,803,396
0,16,710,328
1,16,711,353
2,16,713,377
3,16,718,399
4,16,729,420
5,16,745,437
6,16,763,451
7,16,785,460
8,16,807,461
9,16,829,457
10,16,846,443
11,16,859,427
12,16,869,409
13,16,874,387
14,16,876,366
15,16,877,345
16,16,875,325
17,16,735,300
18,16,744,286
19,16,760,277
20,16,777,276
21,16,792,282
22,16,822,283
23,16,835,278
24,16,849,279
25,16,861,287
26,16,866,301
27,16,809,310
28,16,811,325
29,16,812,338
30,16,814,353
31,16,791,367
32,16,801,369
33,16,812,371
34,16,821,368
35,16,830,365
36,16,753,316
37,16,763,313
38,16,772,313
39,16,781,316
40,16,773,316
41,16,763,316
42,16,829,316
43,16,838,313
44,16,846,314
45,16,853,316
46,16,846,316
47,16,838,316
48,16,774,400
49,16,790,393
50,16,804,388
51,16,812,390
52,16,820,388
53,16,830,390
54,16,841,395
55,16,831,404
56,16,822,409
57,16,813,411
58,16,803,411
59,16,790,408
60,16,780,399
61,16,803,396
62,16,812,396
63,16,821,395
64,16,835,395
65,16,821,399
66,16,812,401
67,16,804,400
0,17,708,331
1,17,709,355
2,17,711,379
3,17,716,401
4,17,727,421
5,17,744,438
6,17,762,451
7,17,784,460
8,17,807,461
9,17,828,456
10,17,844,442
11,17,857,427
12,17,867,408
13,17,873,388
14,17,876,367
15,17,876,347
16,17,874,327
17,17,736,300
18,17,743,285
19,17,759,276
20,17,776,276
21,17,791,282
22,17,820,283
23,17,834,278
24,17,848,278
25,17,861,286
26,17,864,302
27,17,808,310
28,17,809,324
29,17,810,338
30,17,812,352
31,17,789,367
32,17,799,369
33,17,810,371
34,17,820,368
35,17,828,365
36,17,753,315
37,17,762,312
38,17,771,312
39,17,780,315
40,17,771,315
41,17,762,315
42,17,827,316
43,17,836,313
44,17,844,314
45,17,851,317
46,17,844,316
47,17,836,316
48,17,772,399
49,17,788,392
50,17,802,387
51,17,811,389
52,17,820,386
53,17,830,388
54,17,840,394
55,17,831,401
56,17,821,406
57,17,811,408
58,17,802,408
59,17,788,406
60,17,777,398
61,17,802,395
62,17,811,396
63,17,820,394
64,17,835,394
65,17,820,396
66,17,811,398
67,17,802,398
0,18,705,328
1,18,707,353
2,18,709,377
3,18,713,401
4,18,725,421
5,18,741,437
6,18,760,451
7,18,783,461
8,18,807,462
9,18,827,456
10,18,842,442
11,18,856,425
12,18,866,405
13,18,871,383
14,18,873,361
15,18,873,340
16,18,869,319
17,18,728,304
18,18,736,287
19,18,753,278
20,18,771,277
21,18,788,283
22,18,814,283
23,18,827,276
24,18,841,275
25,18,855,280
26,18,861,294
27,18,803,305
28,18,805,321
29,18,808,337
30,18,810,353
31,18,786,367
32,18,797,369
33,18,808,371
34,18,817,368
35,18,826,364
36,18,746,311
37,18,755,304
38,18,765,303
39,18,775,310
40,18,766,311
41,18,755,311
42,18,824,307
43,18,833,299
44,18,842,298
45,18,849,304
46,18,842,305
47,18,833,306
48,18,768,399
49,18,783,391
50,18,798,387
51,18,808,389
52,18,817,386
53,18,828,388
54,18,838,392
55,18,830,403
56,18,820,409
57,18,809,411
58,18,799,411
59,18,784,408
60,18,773,398
61,18,798,393
62,18,808,394
63,18,817,392
64,18,833,393
65,18,818,399
66,18,809,401
67,18,799,400
0,19,704,330
1,19,704,354
2,19,706,379
3,19,710,403
4,19,721,424
5,19,739,441
6,19,758,456
7,19,780,466
8,19,804,467
9,19,825,460
10,19,839,444
11,19,852,426
12,19,863,406
13,19,869,384
14,19,871,361
15,19,871,339
16,19,867,318
17,19,726,306
18,19,734,290
19,19,750,282
20,19,767,282
21,19,783,287
22,19,809,285
23,19,823,278
24,19,837,276
25,19,850,281
26,19,857,293
27,19,797,308
28,19,799,324
29,19,801,339
30,19,803,355
31,19,781,369
32,19,792,371
33,19,803,372
34,19,812,369
35,19,820,366
36,19,742,316
37,19,751,310
38,19,761,309
39,19,771,316
40,19,762,316
41,19,752,317
42,19,819,310
43,19,827,302
44,19,837,301
45,19,844,305
46,19,837,308
47,19,829,309
48,19,762,401
49,19,777,393
50,19,792,388
51,19,802,390
52,19,813,387
53,19,825,388
54,19,836,393
55,19,827,407
56,19,817,415
57,19,805,417
58,19,794,417
59,19,778,412
60,19,767,400
61,19,793,394
62,19,803,395
63,19,814,392
64,19,831,393
65,19,815,404
66,19,804,407
67,19,793,407
0,20,701,331
1,20,702,356
2,20,705,380
3,20,711,405
4,20,724,426
5,20,741,444
6,20,761,458
7,20,783,468
8,20,807,467
9,20,827,459
10,20,839,442
11,20,852,424
12,20,862,404
13,20,867,380
14,20,868,358
15,20,867,336
16,20,863,314
17,20,722,308
18,20,730,292
19,20,746,282
20,20,764,281
21,20,780,286
22,20,807,282
23,20,820,275
24,20,834,273
25,20,846,277
26,20,853,289
27,20,797,306
28,20,799,322
29,20,802,338
30,20,804,355
31,20,779,370
32,20,791,371
33,20,802,373
34,20,812,369
35,20,820,365
36,20,740,314
37,20,748,307
38,20,759,305
39,20,768,313
40,20,760,314
41,20,750,315
42,20,817,306
43,20,826,297
44,20,836,295
45,20,843,301
46,20,836,304
47,20,827,305
48,20,761,402
49,20,775,393
50,20,790,388
51,20,800,390
52,20,811,387
53,20,824,387
54,20,835,392
55,20,827,407
56,20,816,415
57,20,804,419
58,20,793,419
59,20,776,414
60,20,765,401
61,20,791,395
62,20,801,395
63,20,812,392
64,20,830,393
65,20,814,405
66,20,803,408
67,20,791,408
0,21,696,343
1,21,698,367
2,21,700,390
3,21,707,414
4,21,720,434
5,21,738,451
6,21,756,465
7,21,778,474
8,21,801,472
9,21,821,464
10,21,834,447
11,21,845,429
12,21,855,411
13,21,860,391
14,21,861,371
15,21,860,350
16,21,856,329
17,21,717,312
18,21,724,297
19,21,737,289
20,21,753,288
21,21,767,292
22,21,798,290
23,21,810,285
24,21,823,283
25,21,834,289
26,21,841,299
27,21,786,318
28,21,788,334
29,21,790,349
30,21,793,365
31,21,772,378
32,21,782,379
33,21,793,380
34,21,802,377
35,21,809,373
36,21,734,328
37,21,742,324
38,21,751,323
39,21,760,327
40,21,752,328
41,21,743,329
42,21,806,323
43,21,814,318
44,21,822,316
45,21,829,319
46,21,823,320
47,21,815,321
48,21,757,409
49,21,771,401
50,21,784,397
51,21,794,397
